time,cpu_usage,memory_usage,network_activity,anomaly
0,0.024835707650561634,0.9660752634756389,0.034828624766681845,0
1,0.003086618275607431,0.9846750272639826,0.028332359253566648,0
2,0.05238309359836771,0.9699309536143206,-0.09365198458054913,0
3,0.10614699302289693,1.0050709360962935,0.05795842217637383,0
4,0.028281665450467362,1.0590590332340735,-0.1490082675576618,0
5,0.038272321423219305,0.9601981525379061,-0.06541843257603286,0
6,0.13892464725481418,1.048241564823625,-0.1999087812897808,0
7,0.10831458379517821,0.9584673966359352,0.15586265169628147,0
8,0.05644097467242509,0.9544203456777752,-0.02315494939452955,0
9,0.11700655137730928,1.036882463929155,0.21668840348163118,0
10,0.07666253200620504,1.0411009841784067,0.0802949926519495,0
11,0.08649181315866197,1.0365265947948294,0.044809821335102445,0
12,0.13181032086722105,0.9270187654429591,-0.058622769428099936,0
13,0.033970130386804964,0.9682643448111855,-0.104635003568742,0
14,0.05329722301858485,1.031365425812803,0.05229715738969453,0
15,0.12132375601155058,0.990848169964237,-0.007151400927298216,0
16,0.1086766505975248,0.9335426410657537,-0.1339270315485301,0
17,0.18489471569675972,1.008500663865833,-0.15168584165083188,0
18,0.13362836964976363,0.948103329838548,-0.09587037291435839,0
19,0.118243709909736,1.071730477536881,0.18209672252662307,0
20,0.27195176924113895,1.0573086509621545,0.2213277918011304,0
21,0.19717108482177276,1.0082357860419267,0.020498914730890983,0
22,0.22160603331526552,1.043947784569094,0.01489427962412884,0
23,0.15674011422451556,0.9769059625115439,-0.03363203718295211,0
24,0.21048349020087545,1.0096098495707804,-0.09344853483095023,0
25,0.25295008874001623,1.0427984364757485,0.1375179057607244,0
26,0.19953087302103997,0.9786649122242288,0.18735763938971361,0
27,0.2855163376061147,0.9510115377901763,-0.08934190858392856,0
28,0.24632371406817352,0.875824340401915,-0.008283837842460158,0
29,0.2713675376151717,0.9540871992266224,-0.044986630071016796,0
30,0.2654348760498697,0.9965076483537215,-0.042023907486497716,0
31,0.3976725456688904,0.9996152412640948,0.11859082554298622,0
32,0.31389169937922107,0.9744536713683614,-0.13119615453661218,0
33,0.27115748194707334,0.918977388780275,0.04664696909363063,0
34,0.37461433774597386,0.8439135870809666,0.07282381073058657,0
35,0.2818556249569003,0.9146119579471421,-0.014215117360181918,0
36,0.36271741302532773,0.9206795801252372,0.08930678269867728,0
37,0.2636319257709732,0.9166808972465338,0.014765184053745018,0
38,0.30451116696806113,0.9595924534254064,0.12171299211561122,0
39,0.3900314769166176,1.024192880408055,-0.15222053049258544,0
40,0.42634167130842104,0.9272374540949397,-0.03487752610068693,0
41,0.4071777420439215,0.906284233358782,-0.00718131428510346,0
42,0.4019780389401581,0.9001278496621036,-0.26722073844713495,0
43,0.4018156176497463,0.9151849880202708,-0.10859527335785349,0
44,0.35201336554762824,0.8633369752025434,-0.08135992543587864,0
45,0.3989733236914948,0.9064570302899796,0.09482059948233497,0
46,0.42091616841753043,0.9185931143421152,-0.07068433463146005,0
47,0.5057423966900141,0.9020525913740534,-0.08180789873059771,0
48,0.4789600900199059,0.9098720194795232,0.08174857806561918,0
49,0.3824738804030213,0.9040202390775482,-0.16179106457900547,0
50,0.49562973707394276,0.7889877277780506,-0.20712440674435723,0
51,0.46892313286209164,0.9045880155655215,-0.03615923000693465,0
52,0.4630340378284388,0.8342684373945272,-0.14477067680783554,0
53,0.5361171556468903,0.8080151123645631,-0.1409679294659649,0
54,0.5656859677779106,0.8024860899710744,0.0573433791687982,0
55,0.5692512348864691,0.8742016025831322,0.08759738379125792,0
56,0.4892253217597515,0.8361263646521735,0.07888642158521252,0
57,0.5241714299414085,0.7578025359629982,0.1108776660307233,0
58,0.5645871083620517,0.8603645406748011,0.12411343200148017,0
59,0.6051382792689017,0.7589602725602222,-0.2128590208826931,0
60,0.5406837615027709,0.8323266828355889,0.04504119599294666,0
61,0.5635845112672905,0.8315729641291323,-0.052960819956955875,0
62,0.5257184118370036,0.8581573107472862,-0.07474242459904361,0
63,0.5293344267382359,0.8971117476354944,0.05604146322087054,0
64,0.637821732482102,0.7338619415892654,-0.17302954798957518,0
65,0.6729984071645807,0.7934601057459034,-0.17511086058723202,0
66,0.609516345894417,0.7761754667451543,0.06335727440817172,0
67,0.6711626319311609,0.8055091501788973,0.04877860175108979,0
68,0.6468748252708503,0.7883561572976089,0.013673265587151024,0
69,0.6042811944917118,0.7536187028602755,-0.08799134047231369,0
70,0.6622874675131118,0.7427970778539457,0.07438296345821242,0
71,0.7287355993448351,0.7025393332313058,0.06803028920604759,0
72,0.6575933700159755,0.8011988082612205,0.008530451504745419,0
73,0.7451018177943982,0.7681346114248468,-0.11773210412697716,0
74,0.5433006564236578,0.7843569686193448,-0.04252483457295068,0
75,0.7227338852420954,0.7161690620500452,0.08378336775244427,0
76,0.6932737985224598,0.6919942373061837,0.13271912228017868,0
77,0.6811848711040633,0.663994916279482,-0.032653660337632846,0
78,0.7078674580271854,0.7288594171993102,-0.024967296780826237,0
79,0.6109748266875632,0.6518556544258244,-0.016168910802506112,0
80,0.7063724965076472,0.7891398627954929,0.027489300891097215,0
81,0.7421428029457299,0.624116303897075,-0.05810673000600239,0
82,0.8050405319639717,0.6959042132482386,-0.2894185057571584,0
83,0.7120178601962804,0.7532184954319563,0.11927690016470967,0
84,0.7042184398261999,0.6974173138044986,0.17946889471625493,0
85,0.7261925529610659,0.6687668315095712,-0.06123998596057126,0
86,0.8036126687803806,0.6040132858159571,-0.1066653368918774,0
87,0.7807664925084893,0.5757380878116161,-0.013710052239022219,0
88,0.7442508687106174,0.6756536496444595,-0.01875038837287729,0
89,0.8027351191824916,0.7047193886124442,0.09955185771629596,0
90,0.7881807870948855,0.5996674687467558,0.0054639441645037866,0
91,0.837935989216595,0.556792674107994,-0.07926228303711833,0
92,0.7604989653424984,0.48291168511601185,-0.1318409450558049,0
93,0.7852368335538887,0.5487957401041713,0.08656341848196736,0
94,0.7879526927485064,0.5841051829061462,0.05995112411642496,0
95,0.7402397573827678,0.6616392515057202,0.10605598780918189,0
96,0.833997582154227,0.6071766706841051,-0.0968186750721094,0
97,0.8379384769474445,0.580553801395692,0.18384368995283293,0
98,0.8307530433240935,0.5370165637011608,-0.1743694507057237,0
99,0.8242966219317632,0.5195315747187897,0.07096010214014796,0
100,0.7707024477053758,0.610584685743538,-0.19095827671969018,0
101,0.8257995784797473,0.541897648412275,-0.07903313816984678,0
102,0.8349722961230245,0.41823591665559845,0.15610229304479592,0
103,0.8171851257275224,0.48114186257509317,0.08313642544759896,0
104,0.854339941660038,0.46330945564419707,-0.05462204154871819,0
105,0.887625768434744,0.4702578474328537,-0.05188370428216882,0
106,0.9666647774055128,0.5170176148747817,0.010062211083544213,0
107,0.8859293949162736,0.4747519849388216,0.05141409907607228,0
108,0.8948353264210858,0.46748509382355685,0.12515793826826968,0
109,0.8829046186611789,0.5281590249415626,-0.04562340046084945,0
110,0.7952687992964833,0.4187730669362429,-0.16117850634872016,0
111,0.8943729919075868,0.5378714930360743,0.015696862704876004,0
112,0.9031119526735564,0.4021170667081578,-0.045743083750839485,0
